date,trend_spread,high,high_today,high_after,high_trend,low,low_today,low_after,low_trend,spread_after
2014-01-27,8.321773200460845,MRK,52.12,52.46,0.6523407521105208,GE,24.85,25.24,1.5694164989939516,0.9170757468834309
2014-01-28,7.619342760009623,MRK,52.46,51.81,-1.239039268013722,DD,59.15,60.29,1.9273034657650054,3.1663427337787278
2014-01-29,8.379045618805101,MSFT,36.39,36.59,0.5496015388843167,BA,129.05,125.82,-2.5029058504455777,-3.0525073893298944
2014-01-30,13.937080916785064,MRK,53.1,52.56,-1.0169491525423713,BA,125.82,124.56,-1.0014306151645136,0.015518537377857688
2014-01-31,18.562983078944264,MSFT,37.56,36.21,-3.5942492012779588,BA,124.56,122.39,-1.742132305716122,1.8521168955618368
2014-02-03,17.35864916472786,CAT,91.88,91.96,0.08707009142359415,BA,122.39,121.36,-0.8415720238581593,-0.9286421152817534
2014-02-04,18.02802608842749,CAT,91.96,91.42,-0.5872118312309614,BA,121.36,120.72,-0.527356624917601,0.05985520631336039
2014-02-05,15.834965911703874,PFE,30.65,30.84,0.6199021207177856,BA,120.72,121.98,1.0437375745526882,0.4238354538349026
2014-02-06,16.21674574071649,DD,62.52,63.01,0.7837492002559099,BA,121.98,126.31,3.5497622561075572,2.7660130558516474
2014-02-07,10.17164763188533,DIS,75.67,77.06,1.836923483546981,XOM,90.58,89.52,-1.1702362552439858,-3.0071597387909668
2014-02-10,9.44904550961421,DIS,77.06,77.79,0.9473137814689904,UNH,69.49,70.37,1.2663692617642968,0.3190554802953064
2014-02-11,9.425033850143617,DIS,77.79,77.91,0.1542614731970566,UNH,70.37,69.99,-0.5400028421202354,-0.694264315317292
2014-02-12,12.025222742741903,DIS,77.91,77.9,-0.012835322808356957,UNH,69.99,70.95,1.3716245177882669,1.3844598405966237
2014-02-13,8.659031208702467,DIS,77.9,79.23,1.7073170731707294,UNH,70.95,73.26,3.2558139534883748,1.5484968803176453
2014-02-14,10.799478121817923,DIS,79.23,79.58,0.4417518616685527,VZ,46.0,45.47,-1.1521739130434807,-1.5939257747120334
2014-02-18,8.607462466018513,BA,130.63,128.39,-1.7147668988746911,VZ,45.47,46.02,1.2095887398284677,2.924355638703159
2014-02-19,6.45996429242722,DIS,78.87,79.19,0.4057309496639954,KO,36.81,37.01,0.5433306166802383,0.13759966701624288
2014-02-20,9.827248679657963,XOM,95.37,95.03,-0.3565062388591836,KO,37.01,36.89,-0.32423669278572664,0.032269546073456945
2014-02-21,8.39445646923274,XOM,95.03,96.44,1.4837419762180328,KO,36.89,37.21,0.8674437516942268,-0.616298224523806
2014-02-24,11.436995097143498,UNH,75.74,75.05,-0.9110113546342722,CSCO,21.93,21.65,-1.2767897856817196,-0.36577843104744745
2014-02-25,9.741209844615911,UNH,75.05,75.79,0.9860093271152686,T,31.75,31.59,-0.5039370078740162,-1.4899463349892847
2014-02-26,8.293503931292937,HD,81.23,81.5,0.3323895112643063,T,31.59,31.81,0.6964229186451373,0.36403340738083095
2014-02-27,8.745593932500519,HD,81.5,81.56,0.07361963190184329,JPM,56.33,56.46,0.23078288656133952,0.15716325465949624
2014-02-28,10.077734990712367,HD,81.56,81.53,-0.03678273663560708,T,31.52,31.45,-0.2220812182741126,-0.1852984816385055
2014-03-03,9.797606874192443,HD,81.53,82.4,1.0670918680240458,T,31.45,31.73,0.8903020667726587,-0.1767898012513871
2014-03-04,8.574810736627475,HD,82.4,82.44,0.04854368932037869,T,31.73,31.71,-0.06303183107469137,-0.11157552039507007
2014-03-05,9.221565971258267,HD,82.44,81.94,-0.606501698204755,XOM,93.8,93.76,-0.042643923240929686,0.5638577749638253
2014-03-06,8.582764272954142,GS,172.6,174.26,0.9617612977983757,XOM,93.76,94.99,1.3118600682593746,0.3500987704609989
2014-03-07,7.91327708071036,GS,174.26,173.51,-0.4303913692184093,CSCO,21.55,21.51,-0.18561484918793106,0.24477652003047826
2014-03-10,6.214955498765339,GS,173.51,169.89,-2.0863350815514985,BA,126.89,125.67,-0.9614626842146732,1.1248723973368253
2014-03-11,6.3359721223360115,MCD,98.78,98.71,-0.07086454747925429,BA,125.67,124.43,-0.9867112278188866,-0.9158466803396323
2014-03-12,7.61022522914059,MCD,98.71,97.37,-1.35751190355586,BA,124.43,121.89,-2.0413083661496474,-0.6837964625937873
2014-03-13,8.920373590453618,MCD,97.37,97.58,0.2156721782889943,BA,121.89,123.11,1.0009024530314208,0.7852302747424265
2014-03-14,7.335391022540856,MCD,97.58,97.6,0.02049600327935645,PFE,31.23,31.42,0.6083893691962897,0.5878933659169333
2014-03-17,5.622836324372972,PG,79.21,79.14,-0.0883726802171357,GS,166.84,168.09,0.7492208103572284,0.8375934905743642
2014-03-18,7.894248336047148,MSFT,39.55,39.27,-0.7079646017698965,GS,168.09,168.18,0.05354274495806021,0.7615073467279567
2014-03-19,7.4985416692106215,MSFT,39.27,40.33,2.699261522790922,BA,122.24,123.73,1.2189136125654525,-1.4803479102254695
2014-03-20,8.50818203790322,MSFT,40.33,40.16,-0.421522439871068,GE,25.27,25.4,0.51444400474871,0.935966444619778
2014-03-21,10.706232924117032,T,33.86,34.01,0.44300059066745,NKE,75.21,74.86,-0.46536364845099637,-0.9083642391184463
2014-03-24,11.561734278289943,MSFT,40.5,40.34,-0.3950617283950533,NKE,74.86,73.65,-1.6163505209724736,-1.2212887925774203
2014-03-25,13.244786512510398,JPM,60.55,59.52,-1.7010734929809974,NKE,73.65,73.22,-0.5838424983027927,1.1172309946782049
2014-03-26,13.520187233501249,UNH,81.54,81.02,-0.6377238165317761,NKE,73.22,73.32,0.13657470636437355,0.7742985228961496
2014-03-27,13.957216074485737,T,34.51,34.62,0.3187481889307431,NKE,73.32,73.54,0.30005455537372216,-0.018693633557020917
2014-03-28,13.512646570083794,T,34.62,34.62,0.0,NKE,73.54,73.86,0.4351373402229986,0.4351373402229986
2014-03-31,11.191541912600156,JNJ,98.23,97.94,-0.29522549119414254,NKE,73.86,74.39,0.7175737882480384,1.012799279442181
2014-04-01,11.523577182380507,CSCO,23.1,22.99,-0.47619047619048904,V,214.7,214.66,-0.018630647414993966,0.45755982877549506
2014-04-02,10.238907799233024,CSCO,22.99,23.09,0.43497172683776175,V,214.66,215.01,0.16304854188017998,-0.2719231849575818
2014-04-03,5.795990127254249,CSCO,23.09,22.71,-1.6457340840190515,V,215.01,207.7,-3.3998418678201023,-1.7541077838010508
2014-04-04,8.16356872459105,CAT,101.57,100.52,-1.0337698139214309,V,207.7,203.41,-2.0654790563312435,-1.0317092424098127
2014-04-07,10.40079090341338,CSCO,22.85,22.94,0.3938730853391678,V,203.41,202.59,-0.4031266899365779,-0.7969997752757457
2014-04-08,9.514359320967863,INTC,26.91,26.98,0.2601263470828699,V,202.59,207.54,2.44335850733007,2.1832321602472
2014-04-09,8.387476736773133,INTC,26.98,26.43,-2.0385470719051177,V,207.54,201.55,-2.8861906138575604,-0.8476435419524426
2014-04-10,8.58476998199529,CAT,101.66,100.86,-0.7869368483179198,AXP,85.36,84.54,-0.9606373008434784,-0.17370045252555866
2014-04-11,10.440493149198925,MCD,99.29,100.11,0.8258636317856715,GS,152.72,154.74,1.3226820324777437,0.4968184006920723
2014-04-14,12.032995911546243,IBM,197.77,197.02,-0.3792283966223391,JPM,54.96,54.8,-0.29112081513828914,0.08810758148404996
2014-04-15,13.504730792809722,KO,40.18,40.59,1.0204081632653155,JPM,54.8,55.26,0.8394160583941622,-0.18099210487115325
2014-04-16,11.439966996989371,KO,40.59,40.72,0.3202759300320164,JPM,55.26,55.22,-0.07238508867173209,-0.3926610187037485
2014-04-17,11.159735334719082,CVX,123.68,124.24,0.4527813712807148,JPM,55.22,55.03,-0.34407823252444353,-0.7968596038051583
2014-04-21,12.426497908660055,KO,40.75,40.71,-0.0981595092024519,UNH,74.95,75.76,1.0807204803202166,1.1788799895226685
2014-04-22,11.552622413563105,CVX,124.0,124.69,0.556451612903224,UNH,75.76,75.33,-0.5675818373812128,-1.1240334502844367
2014-04-23,11.597550445650617,BA,130.63,129.86,-0.5894511214881588,UNH,75.33,76.59,1.6726403823178086,2.2620915038059675
2014-04-24,9.180649023631766,BA,129.86,128.66,-0.9240720776220676,IBM,190.22,189.63,-0.31016717485017525,0.6139049027718924
2014-04-25,9.440919584225687,HD,79.38,80.17,0.9952128999748128,UNH,75.66,75.74,0.10573618821041278,-0.8894767117644
2014-04-28,10.273068833240448,PFE,32.04,31.76,-0.8739076154806416,V,201.42,202.67,0.6205937841326581,1.4945013996132996
